Key,english
buffSaboteurSetBonusName,"Saboteur"
buffSaboteurSetBonusDesc,"A demolition expert who excels at breaching and destruction. You are nearly immune to explosive damage and can unleash powerful abilities with explosives."
buffParanoidConspiracistSetBonusName,"Paranoid Conspiracist"
buffParanoidConspiracistDesc,"You see the truth! Killing zombies has a chance to reveal a 'Conspiracy Theory', and you have a knack for surviving unexpected blows."
buffPhysicianSetBonusName,"Physician"
buffPhysicianSetBonusDesc,"Your advanced medical knowledge makes your healing items and metabolism more effective. You can also heal allies with a special chemical gun."
buffBitminerSetBonusName,"Bitminer"
buffBitminerSetBonusDesc,"A master of robotics and automation. You can deploy extra melee turrets and 'Overcharge' them with your wrench to boost their performance."
buffBitminerOverchargeName,"Turret Overcharged!"
buffBitminerOverchargeDesc,"This turret is performing at maximum efficiency."
buffScholarSetBonusName,"Scholar"
buffScholarSetBonusDesc,"Your thirst for knowledge is insatiable. Reading books provides a 'Knowledge Boost' to your robotic turrets, and you find more loot indoors."
buffScholarKnowledgeBoostName,"Knowledge Boost"
buffScholarKnowledgeBoostDesc,"Your recent studies have granted you insight, temporarily boosting the fire rate of your robotic turrets."
buffPickSpecialistSetBonusName,"Pick Specialist"
buffPickSpecialistSetBonusDesc,"You've turned common mining tools into deadly weapons. Killing enemies or destroying blocks triggers a 'Gold Rush'."
buffPickSpecialistGoldRushName,"Gold Rush!"
buffPickSpecialistGoldRushDesc,"Each stack increases your attack and movement speed."
buffStoicSetBonusName,"Stoic"
buffStoicSetBonusDesc,"You remain calm and focused in the heat of battle, shrugging off blows and landing precise shots."
buffWastelanderSetBonusName,"Wastelander"
buffWastelanderSetBonusDesc,"You are a hardened survivor of the most desolate places. You periodically find food and are tougher and faster while in the wasteland."
buffWastelanderScavengeTimerName,"Scavenging"
buffWastelanderScavengeTimerDesc,"You are searching for sustenance..."
buffWastelanderFoodFindName,"Sustenance Found!"
buffWastelanderFoodFindDesc,"Your survival skills have paid off, and you've found some food."
buffRedneckSeeingDoubleName,"Seeing Double"
buffRedneckSeeingDoubleDesc,"Your vision is blurry, but your aim is true... mostly. Your pipe weapons fire extra projectiles."
buffRedneckHoldMyBeerCooldownName,"Hold My Beer Cooldown"
buffRedneckHoldMyBeerCooldownDesc,"You need some time before you can have another great idea."
buffRedneckLiquidCourageName,"Liquid Courage"
buffRedneckLiquidCourageDesc,"Your next shot with a pipe weapon will be incredibly powerful and is guaranteed to dismember a limb."
buffFramerFortificationName,"Fortification"
buffFramerFortificationDesc,"Each stack will negate the damage from a single hit. At 3 or more stacks, you also gain resistance to critical injuries."
buffSaboteurPrimedChargeName,"Primed Charge"
buffSaboteurPrimedChargeDesc,"Your next explosive throw will be much more powerful."
buffTheoryName,"Conspiracy Theory!"
buffTheoryDesc,"You've found proof! They're putting chemicals in the water..."
buffPowderGangName,"Powder Gang"
buffPowderGangDesc,"You've gained some extra gunpowder."
buffSpear7thStrikeBonusName,"Flurry"
buffSpear7thStrikeBonusDesc,"Your next attack is blindingly fast."
buffFreerunnerLeapArmedName,"Leap Armed"
buffFreerunnerLeapArmedDesc,"Your next jump will be a massive leap."
buffFreerunnerLeapCooldownName,"Leap Cooldown"
buffFreerunnerDashCooldownName,"Dash Cooldown"
buffWastelanderStrangerCooldownName,"Mysterious Stranger Cooldown"
buffWastelanderStrangerAppearsName,"Mysterious Stranger"
buffHarvesterGraveDisturbedName,"Grave Disturbed!"
buffHarvesterUndeadFortitudeName,"Undead Fortitude"
buffHarvesterUndeadFortitudeDesc,"You are filled with an unnatural resilience, significantly reducing incoming damage."
buffHarvesterGhoulsSpeedName,"Ghoul's Speed"
buffHarvesterGhoulsSpeedDesc,"A supernatural speed flows through you, increasing your attack and movement speed."
buffHarvesterSpectralTouchName,"Spectral Touch"
buffHarvesterSpectralTouchDesc,"Your attacks pass through armor as if it were air."
buffHarvesterGraveRobberCooldownName,"Grave Robber Cooldown"
buffHarvesterGraveRobberCooldownDesc,"You must wait before disturbing another grave."

perkLightArmorCrafterName,"Light Armor Crafter"
perkLightArmorCrafterDesc,"Specialize in crafting Light Armor. Each level unlocks the ability to craft higher quality Light Armor sets."
perkLightArmorCrafterRank1Desc,"Shoddy"
perkLightArmorCrafterRank1LongDesc,"Unlocks all Light Armor recipes and allows you to craft them at Quality 1."
perkLightArmorCrafterRank2Desc,"Serviceable"
perkLightArmorCrafterRank2LongDesc,"You can now craft Quality 2 Light Armor."
perkLightArmorCrafterRank3Desc,"Sturdy"
perkLightArmorCrafterRank3LongDesc,"You can now craft Quality 3 Light Armor."
perkLightArmorCrafterRank4Desc,"Superior"
perkLightArmorCrafterRank4LongDesc,"You can now craft Quality 4 Light Armor."
perkLightArmorCrafterRank5Desc,"Flawless"
perkLightArmorCrafterRank5LongDesc,"You can now craft Quality 5 Light Armor."
perkLightArmorCrafterRank6Desc,"Masterful"
perkLightArmorCrafterRank6LongDesc,"Finally the pinnacle of your Armor Crafting Ability is revealed! You can now craft Quality 6 Light Armor."
perkMediumArmorCrafterName,"Medium Armor Crafter"
perkMediumArmorCrafterDesc,"Specialize in crafting Medium Armor. Each level unlocks the ability to craft higher quality Medium Armor sets."
perkMediumArmorCrafterRank1Desc,"Shoddy"
perkMediumArmorCrafterRank1LongDesc,"Unlocks all Medium Armor recipes and allows you to craft them at Quality 1."
perkMediumArmorCrafterRank2Desc,"Serviceable"
perkMediumArmorCrafterRank2LongDesc,"You can now craft Quality 2 Medium Armor."
perkMediumArmorCrafterRank3Desc,"Sturdy"
perkMediumArmorCrafterRank3LongDesc,"You can now craft Quality 3 Medium Armor."
perkMediumArmorCrafterRank4Desc,"Superior"
perkMediumArmorCrafterRank4LongDesc,"You can now craft Quality 4 Medium Armor."
perkMediumArmorCrafterRank5Desc,"Flawless"
perkMediumArmorCrafterRank5LongDesc,"You can now craft Quality 5 Medium Armor."
perkMediumArmorCrafterRank6Desc,"Masterful"
perkMediumArmorCrafterRank6LongDesc,"Finally the pinnacle of your Armor Crafting Ability is revealed! You can now craft Quality 6 Medium Armor."
perkHeavyArmorCrafterName,"Heavy Armor Crafter"
perkHeavyArmorCrafterDesc,"Specialize in crafting Heavy Armor. Each level unlocks the ability to craft higher quality Heavy Armor sets."
perkHeavyArmorCrafterRank1Desc,"Shoddy"
perkHeavyArmorCrafterRank1LongDesc,"Unlocks all Heavy Armor recipes and allows you to craft them at Quality 1."
perkHeavyArmorCrafterRank2Desc,"Serviceable"
perkHeavyArmorCrafterRank2LongDesc,"You can now craft Quality 2 Heavy Armor."
perkHeavyArmorCrafterRank3Desc,"Sturdy"
perkHeavyArmorCrafterRank3LongDesc,"You can now craft Quality 3 Heavy Armor."
perkHeavyArmorCrafterRank4Desc,"Superior"
perkHeavyArmorCrafterRank4LongDesc,"You can now craft Quality 4 Heavy Armor."
perkHeavyArmorCrafterRank5Desc,"Flawless."
perkHeavyArmorCrafterRank5LongDesc,"You can now craft Quality 5 Heavy Armor."
perkHeavyArmorCrafterRank6Desc,"Masterful"
perkHeavyArmorCrafterRank6LongDesc,"Finally the pinnacle of your Armor Crafting Ability is revealed! You can now craft Quality 6 Heavy Armor."
modCrossbowTripleshotName,"Tripleshot Crossbow Mod"
modCrossbowTripleshotDesc,"A complex modification that allows a crossbow to fire three bolts in a row, but reducing the weapons damage."
modCrossbowTripleshotSchematicName,"Schematic: Tripleshot Crossbow Mod"
modCrossbowTripleshotSchematicDesc,"Unlocks the recipe to craft the Tripleshot Crossbow Mod."
